"№ п/п, № Отчета","Наименование объекта","Адрес объекта","Цель испытаний","Дата выполнения работ","Исполнители работ","Наименование заказчика",Электроустановка,"Среднее время заполнения линии (минуты)","Количество щитов","Наличие цепи: кол-во точек","Сопротивление изоляции: кол-во линий","Фаза-нуль: количество линий","УЗО: Количество УЗО","Автоматы: Количество Автоматов","Заземлителей: Кол-во ЗУ","Молниезащита: Кол-во МЗ","Затраченное время общее (минуты)","Затраченное время Планшетное (минуты)","Затраченное время Вебверсия (минуты)","Затраченное эффективное время общее (минуты)","Затраченное эффективное время Планшетное (минуты)","Затраченное эффективное время Вебверсия (минуты)","Среднее время межу щитами общее (минуты)","Среднее время межу щитами Планшетное (минуты)","Среднее время межу щитами Вебверсия (минуты)","Время старта","Время окончания",Инженер
18/11/21-6.4,"Дренажно-Насосная станция глубокого залегания","г. Москва, Волоколамское ш. д.84",Эксплуатационные,2021-11-18,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","ГУП ""Мосводосток""","Старая - Удовлетворительно",1.2424242424242,6,95,24,22,2,25,1,-,53,46,7,41,34,7,0.5,0.5,-,"2021-11-18 10:30","2021-11-20 12:01","Кузин Артем"
18/11/21-6.5,"Насосная станция №2","г. Москва, Волоколамское ш. д. 63А, стр.1 ",Эксплуатационные,2021-11-18,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","ГУП ""Мосводосток""","Старая - Удовлетворительно",2.5769230769231,11,96,16,13,0,17,1,-,93,60,33,67,49,18,1.7083333333333,0.45833333333333,1.25,"2021-11-18 11:32","2021-11-20 13:20","Кузин Артем"
19/11/21-6.1,"Очистные сооружения дождевой канализации с фильтровальной насосной станцией ""Карамышевская""","г. Москва, Карамышевская наб. д.9, стр. 2",Эксплуатационные,2021-11-19,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","ГУП ""Мосводосток""","Старая - Удовлетворительно",0.73643410852713,15,290,98,99,5,117,1,-,235,77,158,95,77,18,15.555555555556,-,15.555555555556,"2021-11-19 07:19","2021-11-20 12:43","Кузин Артем"
19/11/21-6.2,"Очистные сооружения дождевой канализации с фильтровальной насосной станцией ""Жуково-2""","г. Москва, Карамышевский пр-д, д.9, стр.1",Эксплуатационные,2021-11-19,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","ГУП ""Мосводосток""","Новая - Удовлетворительно",0.98260869565217,15,319,81,81,10,108,1,-,261,243,18,113,95,18,1.873417721519,1.873417721519,-,"2021-11-19 09:02","2021-11-21 12:03","Кузин Артем"
19/11/21-6.3,"Очистные сооружения дождевой канализации с фильтровальной насосной станцией ""Жуково-1""","г. Москва, ул. Крылатская, д.30, корп.1",Эксплуатационные,2021-11-19,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","ГУП ""Мосводосток""","Старая - Удовлетворительно",0.80281690140845,9,274,58,56,6,63,1,-,57,47,10,57,47,10,-,-,-,"2021-11-19 10:47","2021-11-20 12:54","Кузин Артем"
22/11/21-6.1,"Профессиональный колледж «Московия» ","М.О. г.о. Кашира, ул. Клубная, д.11 (уч.корпус )",Эксплуатационные,2021-11-22,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ГАПОУ МО «Профессиональный колледж «Московия»","Старая - Удовлетворительно",1.1136363636364,27,266,177,177,-,-,-,-,1624,242,1382,245,230,15,227.92635658915,0.093023255813953,227.83333333333,"2021-11-22 08:17","2021-12-01 07:31","Кузин Артем"
24/11/21-6.1,"Профессиональный колледж «Московия» ","М.О. Ленинский район, пос. Развилка, стр.19",Эксплуатационные,2021-11-24,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ГАПОУ МО «Профессиональный колледж «Московия»","Старая - Удовлетворительно",0.94634146341463,23,320,162,150,-,-,-,-,9828,230,9598,194,187,7,4795.8805309735,0.38053097345133,4795.5,"2021-11-24 07:16","2021-12-01 07:55","Кузин Артем"
25/11/21-6.1,"Профессиональный колледж «Московия» ","М.О. Кашира. мкрн. Ожерелье, ул. Строительная, д.15",Эксплуатационные,2021-11-25,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ГАПОУ МО «Профессиональный колледж «Московия»","Старая - Удовлетворительно",1.4174757281553,14,148,86,80,-,-,-,-,146,141,5,146,141,5,-,-,-,"2021-11-25 07:53","2021-12-01 08:09","Кузин Артем"
25/11/21-6.2,Общежитие,"М.О. Кашира. мкр. Ожерелье, ул. Строительная, д.15/1",Эксплуатационные,2021-11-25,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ГАПОУ МО «Профессиональный колледж «Московия»","Старая - Удовлетворительно",0.86792452830189,7,72,48,47,-,-,-,-,46,45,1,46,45,1,-,-,-,"2021-11-25 10:41","2021-12-01 08:23","Кузин Артем"
26/11/21-6.1,"Профессиональный колледж «Московия» ","М.О. г.о. Домодедово, мкрн. Западный, ул.Текстильщиков, д.41",Эксплуатационные,2021-11-26,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ГАПОУ МО «Профессиональный колледж «Московия»","Старая - Удовлетворительно",0.964,27,727,221,219,-,-,-,-,1123,251,872,241,233,8,288.125,0.125,288,"2021-11-26 07:20","2021-12-01 08:31","Кузин Артем"
29/11/21-6.1,"«Профессиональный колледж «Московия»","М.О. г.о. Подольск, мкрн. Львовский, ул. Московская, д.1",Эксплуатационные,2021-11-29,"Рязанов А.В., Кузин А.Н., Еселевский И.А., Рязанов А.В.","ГАПОУ МО «Профессиональный колледж «Московия»","Старая - Удовлетворительно",1.5,23,173,108,105,-,-,-,-,2518,216,2302,180,161,19,163.73407917384,0.66265060240964,163.07142857143,"2021-11-29 08:19","2021-12-01 09:01","Кузин Артем"
"22/11/21-1.1 ","Общежитие ","МО, г. Кашира, ул. Клубная, д. 11/1",Эксплуатационные,2021-11-22,"Рязанов А.В., Еселевский И.А., Кузин А.Н.","ГАПОУ МО «Профессиональный колледж «Московия»","Старая - Удовлетворительно",0.017543859649123,7,94,41,42,-,-,-,-,1,1,-,1,1,-,-,-,-,"2021-11-29 11:56","2021-11-29 11:57","Кузин Артем"
30/11/21-6/1,"«Профессиональный колледж «Московия»","М.О. г.о.Видное,8-я линия, д. 1",Эксплуатационные,2021-11-30,"Рязанов А.В., Кузин А.Н., Байнов С.А.","ГАПОУ МО «Профессиональный колледж «Московия»","Старая - Удовлетворительно",-,1,0,0,0,-,-,-,-,2,1,1,2,1,1,-,-,-,"2021-11-30 04:58","2021-11-30 05:47","Кузин Артем"
30/11/21-6.2,"магазин парфюмерии и косметики «Л’ЭТУАЛЬ»","г. Москва,  ул. Авиаторов, д.5",Приёмо-сдаточные,2021-11-30,"Рязанов А.В., Кузин А.Н., Байнов С.А.","ООО «Алькор и Ко»","Новая - Удовлетворительно",0.96774193548387,5,143,49,49,22,62,-,-,843,41,802,60,41,19,130.5,-,130.5,"2021-11-30 14:06","2021-12-01 07:05","Кузин Артем"
02/12/21-6.1,"Здание банка «ВБРР» (АО)","г. Москва,  Сущевский Вал, д.65, корп.1",Эксплуатационные,2021-12-02,"Рязанов А.В., Кузин А.Н., Байнов С.А.","ООО «ЭнергоСтар»","Новая - Удовлетворительно",0.9109375,52,2274,585,566,193,-,1,-,13641,528,13113,583,435,148,138.20649868227,0.2809667673716,137.92553191489,"2021-12-01 20:32","2021-12-12 13:25","Кузин Артем"
02/12/21-6.2,"Клиника амбулаторного гемодиализа","г. Москва, ул. Авиаконструктора Миля, д. 13, корп.1",Эксплуатационные,2021-12-02,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ООО ""КОМПАНИЯ ""ФЕСФАРМ""","Новая - Удовлетворительно",0.63571428571429,9,385,120,120,56,140,-,-,112,91,21,89,79,10,2.9642857142857,0.21428571428571,2.75,"2021-12-02 13:39","2021-12-02 17:47","Кузин Артем"
07/12/21-6.1,"Складские здания, АБК","г. Москва, ул. Добролюбова, д.2, стр.1",Эксплуатационные,2021-12-07,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ЗАО ""КУЛОН ЭСТЕЙТ""","Новая - Удовлетворительно",0.61791044776119,75,3292,908,910,429,-,-,-,2014,648,1366,621,457,164,13.399413529733,0.61217948717949,12.787234042553,"2021-12-07 07:27","2021-12-09 11:28","Кузин Артем"
07/12/21-6.2,"Квартира №85","г. Москва, ул. Авиаконструктора Сухого, д. 2, корп.1",Приёмо-сдаточные,2021-12-07,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","Бердимбетов Т.Ю.","Новая - Удовлетворительно",1.4210526315789,1,46,18,18,10,19,-,-,27,26,1,27,26,1,-,-,-,"2021-12-07 15:48","2021-12-07 19:55","Кузин Артем"
08/12/21-6.1,"Медицинский центр","г. Москва, ул. Адмирала Лазарева д. 52 к.2",Эксплуатационные,2021-12-08,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","ООО «ОЛ-МАК»","Новая - Удовлетворительно",1.5833333333333,1,29,12,12,-,-,-,-,19,18,1,19,18,1,-,-,-,"2021-12-08 14:43","2021-12-08 19:19","Кузин Артем"
10/12/21-6.1,"Детский сад комбинированного вида №45","МО, г. Раменское, ул. Коммунистическая, д. 36А",Эксплуатационные,2021-12-10,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","МДОУ №45","Новая - Удовлетворительно",1.2786885245902,6,128,59,55,-,-,-,-,235,234,1,78,77,1,3.7380952380952,3.7380952380952,-,"2021-12-10 06:57","2021-12-13 09:17","Кузин Артем"
10/11/21-6.1,"АЗС №50","г. Москва, ул. Мелькисаровская, влд. 1А, соор. 1",Эксплуатационные,2021-11-10,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ООО ТК ""ЕКА""","Старая - Удовлетворительно",0.021739130434783,4,104,38,38,6,46,-,1,1,-,1,1,-,1,-,-,-,"2021-12-11 10:44","2021-12-11 11:00","Кузин Артем"
09/11/21-6.3,"АЗС №39","г. Москва, Дмитровское шоссе., влд. 124Д",Эксплуатационные,2021-11-09,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ООО ТК ""ЕКА""","Старая - Удовлетворительно",0.025641025641026,2,59,29,29,5,39,-,1,1,-,1,1,-,1,-,-,-,"2021-12-11 11:13","2021-12-11 11:13","Кузин Артем"
10/11/21-6.2,"АЗС №52","г. Москва, Ленинградское шоссе, д. 286В, соор.1",Эксплуатационные,2021-11-10,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ООО ТК ""ЕКА""","Старая - Удовлетворительно",0.028571428571429,3,92,25,25,4,35,-,1,1,-,1,1,-,1,-,-,-,"2021-12-11 11:27","2021-12-11 11:31","Кузин Артем"
28/10/21-6.1,"АЗС №312","МО, г. Красногорск, Ильинский тупик (Развязка Ильинского ш. и Новорижского ш.) ",Эксплуатационные,2021-10-28,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ООО ТК ""ЕКА""","Старая - Удовлетворительно",0.015384615384615,6,120,54,54,-,65,-,2,1,-,1,1,-,1,-,-,-,"2021-12-11 11:47","2021-12-11 11:50","Кузин Артем"
"28/10/21-6.2 ","АЗС №307","МО, Красногорский муниципальный р-н, гор. поселение Нахабино, а/д М-9 «Балтия», 29 км (правая сторона), стр. 1",Эксплуатационные,2021-10-28,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ООО ТК ""ЕКА""","Новая - Удовлетворительно",-,10,176,84,83,24,131,-,1,-,-,-,-,-,-,-,-,-,"2021-12-11 12:45","2021-12-11 12:45","Кузин Артем"
28/10/21-6.3,"АЗС №305","МО, Красногорский муниципальный р-н, с/п Ильинское, д. Грибаново, вл. № 26, стр. 1, 2",Эксплуатационные,2021-10-28,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ООО ТК ""ЕКА""","Новая - Удовлетворительно",0.0053191489361702,13,404,171,170,76,187,-,2,1,-,1,1,-,1,-,-,-,"2021-12-11 13:02","2021-12-11 13:05","Кузин Артем"
28/10/21-6.4,"АЗС №10","г. Москва, МКАД, 52-й км, домовл. 3 (внешн. стор, развязка Сколковское ш.)",Эксплуатационные,2021-10-28,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ООО ТК ""ЕКА""","Старая - Удовлетворительно",0.01063829787234,10,175,77,74,34,91,-,1,1,-,1,1,-,1,-,-,-,"2021-12-11 13:17","2021-12-11 13:20","Кузин Артем"
13/12/21-6.1,"ДО «Москворецкое отделение»","г. Москва, ул. Пятницкая, д.76",Эксплуатационные,2021-12-13,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","АО «МИнБанк»","Старая - Удовлетворительно",1.0529247910864,27,824,350,342,118,351,1,-,503,299,204,378,268,110,1.4806967984934,0.17514124293785,1.3055555555556,"2021-12-13 07:16","2022-01-10 10:49","Кузин Артем"
13/12-21-6.2,"ДО «Москворецкое отделение»","г. Москва, ул. Пятницкая, д.76",Эксплуатационные,2021-12-13,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","АО «МИнБанк»","Новая - Удовлетворительно",0.76363636363636,5,109,50,50,11,55,-,-,42,34,8,42,34,8,-,-,-,"2021-12-13 12:27","2022-01-10 07:18","Кузин Артем"
13/12/21-6.3,"Помещение № 8302 ","г. Москва, Пресненская набережная, д. 12, 83 этаж,  башни ""Восток"" ММДЦ ""Москва-Сити"",  комплекса ""Федерация""",Приёмо-сдаточные,2021-12-13,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","ООО ""ФОРБ""","Новая - Удовлетворительно",0.92592592592593,1,53,24,24,16,27,-,-,25,24,1,25,24,1,-,-,-,"2021-12-13 14:51","2022-01-10 11:19","Кузин Артем"
14/12/21-6.1,"ДО «Первомайское отделение»","г. Москва, ул. Щербаковская, д. 57/20",Приёмо-сдаточные,2021-12-14,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","АО «МИнБанк»","Старая - Удовлетворительно",0.91304347826087,3,96,23,23,5,23,-,-,21,19,2,21,19,2,-,-,-,"2021-12-13 18:49","2021-12-14 18:37","Кузин Артем"
14/12/21-6.2,Галерея,"МО, Одинцовский городской округ, коттеджный посёлок ПЖСК Горки-1, д. 7",Приёмо-сдаточные,2021-12-14,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","Антонов Ю.В.","Новая - Удовлетворительно",2.6,1,82,21,21,19,25,1,-,38585,57,38528,65,40,25,9626.8125,1.0625,9625.75,"2021-12-13 18:55","2022-01-10 11:28","Кузин Артем"
15/12/21-6.1,"ДО «Тушинское отделение»","г. Москва, ул. Свободы, д.30",Эксплуатационные,2021-12-15,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","АО «МИнБанк»","Новая - Удовлетворительно",0.85981308411215,10,321,106,102,29,103,1,-,92,88,4,92,88,4,-,-,-,"2021-12-14 18:29","2021-12-21 08:09","Кузин Артем"
15/12/21-6.2,"Квартира №18","г. Москва, ул. Бурденко, д. 3",Приёмо-сдаточные,2021-12-15,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","Китаева М. В.","Новая - Удовлетворительно",0.54761904761905,1,104,42,42,24,42,-,-,42,41,1,23,22,1,1.4615384615385,1.4615384615385,-,"2021-12-15 10:56","2021-12-15 13:49","Кузин Артем"
16.12.21-6.1,,Прол,Эксплуатационные,2021-12-16,"Рязанов А.В., Кузин А.Н., Травин Е.В.","Голден гейт","Новая - Удовлетворительно",1.453125,26,985,187,186,0,186,-,-,807,799,8,279,271,8,3.5918367346939,3.5918367346939,-,"2021-12-16 07:19","2021-12-17 11:40","совместный отчет"
17/12/21-6.1,"Торговые помещения","г. Москва, ул. Борисовские Пруды, д. 10",Эксплуатационные,2021-12-17,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","ООО ""Борисово""","Новая - Удовлетворительно",1.2068965517241,10,92,13,13,-,-,-,-,35,34,1,35,34,1,-,-,-,"2021-12-17 14:07","2022-01-10 11:19","Кузин Артем"
20/12/21-6.1,"Детский сад комбинированного типа","МО, г. Раменское,  ул. Бронницкая, д. 8",Эксплуатационные,2021-12-20,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","МДОУ № 16","Старая - Удовлетворительно",1.5735294117647,12,137,56,55,-,-,-,-,107,106,1,107,106,1,-,-,-,"2021-12-20 04:23","2021-12-20 17:26","Кузин Артем"
20/12/21-6.2,"Магазин ""АЛЕФ""","г. Москва, ул. Авиаторов, вл.5,  ТРЦ ""Небо""",Приёмо-сдаточные,2021-12-20,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","ООО ""СПК ""АРКА""","Новая - Удовлетворительно",1.0869565217391,1,66,22,22,7,23,-,-,25,24,1,25,24,1,-,-,-,"2021-12-20 11:35","2021-12-20 17:47","Кузин Артем"
22/12/21-6.1,"Квартира №471","г. Москва, Хорошевское шоссе, д.25А, к.2",Приёмо-сдаточные,2021-12-22,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","Коломиец С.В.","Новая - Удовлетворительно",1.4285714285714,1,69,21,21,13,21,-,-,30,29,1,30,29,1,-,-,-,"2021-12-22 15:37","2021-12-22 18:16","Кузин Артем"
23/12/21-6.1,"Офисные и производственные помещения","г. Москва, Каширское шоссе,  д.1, к.2",Эксплуатационные,2021-12-23,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","ООО ""МПО Электротехника""","Старая - Удовлетворительно",1.4938574938575,66,563,402,372,-,-,-,-,5335,629,4706,608,542,66,96.930303030303,0.26363636363636,96.666666666667,"2021-12-23 07:17","2021-12-29 14:31","Кузин Артем"
27/12/21-6.1,"Офисные и производственные помещения","г. Москва, ул. Дмитрия Ульянова, д.44",Эксплуатационные,2021-12-27,"Рязанов А.В., Кузин А.Н., Байнов С.А.","ООО ""МПО Электротехника""","Старая - Не удовлетворительно",1.455497382199,48,276,186,176,-,-,-,-,3072,285,2787,278,247,31,393.92657621708,0.2122905027933,393.71428571429,"2021-12-27 07:40","2021-12-29 14:35","Кузин Артем"
28/12/21-6.1,"Стройплощадка жилого дома","МО, Ленинский г.о., пос. Развилка, Римский проезд, 9",Приёмо-сдаточные,2021-12-28,"Рязанов А.В., Кузин А.Н., Байнов С.А.","ООО ""СТРОЙТЕХРЕСУРС""","Новая - Удовлетворительно",-,0,-,-,-,-,-,2,-,2,-,2,2,-,2,-,-,-,"2021-12-28 17:51","2021-12-28 17:56","Кузин Артем"
13/01/22-6.1,"Помещение № 8402 ","г. Москва, Пресненская набережная, д. 12, 84 этаж,  башни ""Восток"" ММДЦ ""Москва-Сити"",  комплекса ""Федерация""",Приёмо-сдаточные,2022-01-13,"Рязанов А.В., Кузин А.Н., Аксенов С.А.","ООО ""ФОРБ""","Новая - Удовлетворительно",1.1363636363636,1,53,19,19,12,22,-,-,25,24,1,25,24,1,-,-,-,"2022-01-13 07:47","2022-01-13 13:20","Кузин Артем"
"17/01/22-6.1  ","Московский театр на Таганке","г. Москва, ул. Земляной вал, дом 76/21, стр.1",Эксплуатационные,2022-01-17,"Рязанов А.В., Кузин А.Н., Бунин А.В.","ГБУК города Москвы «Московский театр на Таганке»","Старая - Удовлетворительно",0.0010834236186349,142,984,922,124,-,-,-,-,1,1,-,1,1,-,-,-,-,"2022-01-13 18:06","2022-01-25 12:58","Кузин Артем"
18/01/22-6.1,"Театр ""Содружество актеров Таганки""","г. Москва, ул. Земляной вал, дом 76/21, стр.1",Эксплуатационные,2022-01-18,"Рязанов А.В., Кузин А.Н., Бунин А.В.","ГБУК г. Москвы «Московский театр на Таганке»","Старая - Удовлетворительно",0.71602787456446,43,645,521,501,-,-,-,-,455,434,21,411,390,21,0.16236162361624,0.16236162361624,-,"2022-01-17 07:38","2022-01-25 08:56","Кузин Артем"
19.01.22-6.1,"Концертный зал","г. Москва, ул. Каланчевская, д.33",Приёмо-сдаточные,2022-01-19,"Рязанов А.В., Кузин А.Н., Бунин А.В.","ГБУК ""Москонцерт""","Старая - Удовлетворительно",2,2,-,21,21,-,-,-,-,61,60,1,46,45,1,0.5,0.5,-,"2022-01-19 13:43","2022-01-20 12:35","Кузин Артем"
20/01/22-6.1,"Ресторан быстрого питания ""Ho Chu Pho""","г. Москва, ул. Шереметьевская 6, корп. 1",Эксплуатационные,2022-01-20,"Рязанов А.В., Кузин А.Н., Бунин А.В.","ИП Нгуен Минь Хоанг","Старая - Удовлетворительно",1.3,1,79,28,27,-,-,-,-,71,70,1,39,38,1,1.6842105263158,1.6842105263158,-,"2022-01-20 07:14","2022-01-20 11:49","Кузин Артем"
20/01/22-6.2,"Компьютерный клуб ""CyberX community""","г. Москва, ул. Большая Черемушкинская 1, ТРЦ ""РИО""",Приёмо-сдаточные,2022-01-20,"Рязанов А.В., Кузин А.Н., Бунин А.В.","ИП Винограденко К.В.","Новая - Удовлетворительно",1.972972972973,3,134,36,36,24,37,-,-,99,66,33,73,66,7,13,-,13,"2022-01-20 14:19","2022-01-20 18:04","Кузин Артем"
21/01/22-6.1,"Жилой дом ","г. Москва, ул. Дубнинская, д. 28, корп. 2",Эксплуатационные,2022-01-21,"Рязанов А.В., Кузин А.Н., Бунин А.В.","ЖСК ""Сирень""","Старая - Удовлетворительно",0.018518518518519,9,119,49,49,-,-,-,-,1,1,-,1,1,-,-,-,-,"2022-01-21 07:11","2022-01-21 07:12","Кузин Артем"
24/01/22-6.1,"Офисные и производственные помещения","г. Москва, Каширское шоссе,  д.1, к.2",Эксплуатационные,2022-01-24,"Рязанов А.В., Кузин А.Н., Бунин А.В.","ООО ""МПО Электротехника""","Старая - Удовлетворительно",2.6666666666667,19,134,60,49,-,-,-,-,160,144,16,160,144,16,-,-,-,"2022-01-24 06:51","2022-01-24 13:32","Кузин Артем"
26/01/22-6.1,"ЗКС ","г. Москва, вблизи Мякининской поймы",Приёмо-сдаточные,2022-01-26,"Рязанов А.В., Кузин А.Н., Бунин А.В.","ООО «Проспект Развитие»","Новая - Удовлетворительно",0.83908045977011,8,165,66,66,31,86,1,3,125,86,39,73,52,21,2.5311004784689,0.89473684210526,1.6363636363636,"2022-01-26 07:45","2022-01-26 14:25","Кузин Артем"
27/01/22-6.1,"Вилла в соснах","МО, д. Раздоры ул. Утренняя д.1",Приёмо-сдаточные,2022-01-27,"Рязанов А.В., Кузин А.Н., Бунин А.В.","ООО ""ТОП АЙДИ""","Новая - Удовлетворительно",-,0,-,-,-,-,-,1,-,2,-,2,2,-,2,-,-,-,"2022-01-26 15:00","2022-01-27 14:25","Кузин Артем"
28/01/22-6.1,"Ресторан ""Christian""","г. Москва, Кутузовский пр-т, д.2/1, корп. 1А",Эксплуатационные,2022-01-28,"Рязанов А.В., Кузин А.Н., Бунин А.В.","ООО «Кристиан»","Новая - Удовлетворительно",0.66442953020134,7,273,139,128,10,-,-,-,136,134,2,99,97,2,0.46835443037975,0.46835443037975,-,"2022-01-27 14:59","2022-01-30 10:49","Кузин Артем"
01/02/22-6.1,"Заземляющее устройство башенного крана "," г. Москва, ул. Ботаническая, д. 29",Приёмо-сдаточные,2022-02-01,"Рязанов А.В., Кузин А.Н., Байнов С.А.","ООО ""СКР-10""","Новая - Удовлетворительно",-,1,4,-,-,-,-,1,-,1,-,1,1,-,1,-,-,-,"2022-02-01 17:55","2022-02-01 17:56","Кузин Артем"
02/02/22-6.1,"Административное здание","г. Москва, Кутузовский проспект, д. 69, корп.6.",Эксплуатационные,2022-02-02,"Рязанов А.В., Кузин А.Н., Байнов С.А.","ООО «Компания ПАРК-груп»","Новая - Удовлетворительно",0.775,19,777,186,185,31,-,-,-,155,132,23,155,132,23,-,-,-,"2022-02-02 07:09","2022-02-02 13:56","Кузин Артем"
24/01/22-6.2,"магазин парфюмерии и косметики «Л’ЭТУАЛЬ»","г. Москва, андропова",Эксплуатационные,2022-01-24,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ООО «Алькор и Ко»","Новая - Удовлетворительно",0.31818181818182,3,-,-,-,-,-,-,-,21,21,-,21,21,-,-,-,-,"2022-02-03 06:28","2022-02-03 08:58","Кузин Артем"
24/01/22-6.1,"магазин парфюмерии и косметики «Л’ЭТУАЛЬ»","г. Москва, ",Эксплуатационные,2022-01-24,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ООО «Алькор и Ко»","Новая - Удовлетворительно",0.33333333333333,7,28,25,26,13,39,-,-,26,26,-,26,26,-,-,-,-,"2022-02-03 06:29","2022-02-03 08:01","Кузин Артем"
04/02/22-6.1,"Офис АО «Газпром промгаз»","МО, г. Видное, ул. Вокзальная, д. 23",Эксплуатационные,2022-02-04,"Рязанов А.В., Кузин А.Н., Байнов С.А.","АО «Газпром промгаз»","Новая - Удовлетворительно",0.68685376661743,61,1879,618,615,-,-,2,-,853,634,219,465,447,18,25.720541401274,0.59554140127389,25.125,"2022-02-04 07:13","2022-02-08 10:54","Кузин Артем"
09/02/22-6.1,"Салон красоты","Сельскохозяйственная 35, пом. 19",Приёмо-сдаточные,2022-02-09,"Рязанов А.В., Кузин А.Н., Байнов С.А.","Ходжаев Г. Ю.","Новая - Удовлетворительно",0.54347826086957,1,106,34,34,16,37,-,-,40,40,-,25,25,-,0.9375,0.9375,-,"2022-02-09 14:38","2022-02-09 15:21","Кузин Артем"
"26/12/20-1.1 ","Жилой дом №50","МО, ЖК «Андерсен», дом №50",Приёмо-сдаточные,2020-12-26,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО «Империал» ","Новая - Удовлетворительно",1.7272727272727,43,-,-,-,-,-,-,-,44591,138,44453,190,138,52,2960.0666666667,-,2960.0666666667,"2020-12-26 09:19","2021-01-28 11:03","Игорь Еселевский"
"28/12/20-1.1 ","Квартира №646","г. Москва, Мосфильмовская ул., д.70, корп.3",Приёмо-сдаточные,2020-12-28,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","Федоров И. Г. ","Новая - Удовлетворительно",0.98039215686275,1,-,-,-,-,-,-,-,198,198,-,50,50,-,4.625,4.625,-,"2020-12-28 09:17","2020-12-28 12:41","Игорь Еселевский"
"29/12/20-1.1 ","9 этаж","г. Москва, ул. Врубеля, д. 12",Приёмо-сдаточные,2020-12-29,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ФГБОУ ВО «МГУПП»","Новая - Удовлетворительно",0.57894736842105,2,-,-,-,-,-,-,-,33,33,-,33,33,-,-,-,-,"2020-12-29 09:19","2020-12-30 16:24","Игорь Еселевский"
"04/01/21-1.1 ",Банк,"г. Москва, ул. Каланчевская, д.29, стр.2",Эксплуатационные,2021-01-04,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО «Экспобанк» ","Новая - Удовлетворительно",1.1333780160858,98,-,-,-,-,-,-,-,29420,657,28763,1691,589,1102,41.395698843593,0.17215189873418,41.223546944858,"2021-01-03 20:20","2021-01-28 09:14","Игорь Еселевский"
"10/01/21-1.1 ",Кафе,"г. Москва, ул. Поклонная, д. 3",Приёмо-сдаточные,2021-01-10,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО «Лаффает Кофе» ","Новая - Удовлетворительно",5,1,-,-,-,-,-,-,-,29989,251,29738,80,45,35,1864.3605769231,7.9230769230769,1856.4375,"2021-01-10 07:47","2021-02-07 14:18","Игорь Еселевский"
"12/01/21-1.1 ","Преображенское кладбище ","г. Москва, ул. Преображенский вал, 17, стр. 1",Эксплуатационные,2021-01-12,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ГБУ «Ритуал» ","Старая - Не удовлетворительно",3.8030303030303,9,-,-,-,-,-,-,-,605,594,11,251,240,11,2.4246575342466,2.4246575342466,-,"2021-01-12 08:19","2021-01-15 07:14","Игорь Еселевский"
22/01/21-1.1,"Жилой дом №49","МО, ЖК «Андерсен», дом №49",Приёмо-сдаточные,2021-01-22,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО «Империал» ","Новая - Удовлетворительно",0.39784946236559,41,-,-,-,-,-,-,-,37,31,6,37,31,6,-,-,-,"2021-01-21 21:46","2021-02-02 06:43","Игорь Еселевский"
